Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1673	2010	00	132.4	29.4	29.1	79.8	294.2	320.9	60.8	251.9	149.3	55.1	39.4	130.8	1573.1
1673	2010	01	11.0	7.0	3.0	4.0	12.0	15.0	7.0	16.0	13.0	9.0	8.0	9.0	114.0
1673	2010	40	14.0	12.0	3.0	6.0	14.0	17.0	8.0	22.0	16.0	11.0	13.0	9.0	145.0
1786	2010	00	234.0	35.0	29.5	80.0	322.5	253.5	48.5	371.0	200.5	77.5	42.0	165.5	1859.5
1786	2010	01	13.0	7.0	3.0	6.0	-	16.0	9.0	-	21.0	12.0	8.0	11.0	-
1786	2010	40	15.0	7.0	3.0	7.0	-	16.0	9.0	-	21.0	13.0	8.0	11.0	-
1857	2010	00	129.6	25.6	19.6	39.5	104.3	217.8	22.8	195.0	153.6	25.5	13.5	56.4	1003.2
1857	2010	01	8.0	7.0	3.0	4.0	13.0	16.0	4.0	15.0	16.0	8.0	3.0	7.0	104.0
1857	2010	40	13.0	9.0	5.0	5.0	14.0	19.0	10.0	21.0	20.0	13.0	4.0	11.0	144.0
1858	2010	00	107.4	27.8	18.6	33.4	90.2	184.2	19.6	173.0	142.3	28.4	15.8	58.4	899.1
1858	2010	01	9.0	6.0	2.0	4.0	14.0	16.0	4.0	15.0	20.0	7.0	3.0	8.0	108.0
1858	2010	40	14.0	8.0	5.0	7.0	16.0	21.0	13.0	23.0	22.0	10.0	4.0	11.0	154.0
1904	2010	00	235.3	23.4	87.4	100.1	244.7	309.0	194.7	481.2	310.0	220.3	35.0	182.6	2423.7
1904	2010	01	16.0	8.0	8.0	10.0	14.0	15.0	13.0	24.0	19.0	14.0	4.0	11.0	156.0
1904	2010	40	17.0	11.0	10.0	10.0	16.0	17.0	14.0	26.0	21.0	15.0	7.0	13.0	177.0
1962	2010	00	44.0	4.6	7.6	56.0	162.8	160.8	87.0	187.4	112.0	19.8	22.3	94.4	958.7
1962	2010	01	7.0	2.0	3.0	9.0	15.0	16.0	10.0	21.0	17.0	5.0	3.0	8.0	116.0
1962	2010	40	10.0	5.0	9.0	12.0	16.0	18.0	17.0	27.0	21.0	11.0	8.0	11.0	165.0
